tanggal,id_komoditas,id_pasar,harga,nama_komoditas,satuan
2022-01-10,29,1,0,Daging Ayam Kampung,kg
2022-01-10,30,1,0,Telur Ayam Kampung,kg
2022-01-11,1,1,9000,Beras Medium,kg
2022-01-11,2,1,10000,Beras Premium,kg
2022-01-11,3,1,20000,Cabai Merah Keriting,kg
2022-01-11,4,1,20000,Cabai Merah Besar,kg
2022-01-11,5,1,40000,Cabai Rawit Merah,kg
2022-01-11,6,1,40000,Cabai Rawit Hijau,kg
2022-01-11,7,1,25000,Bawang Merah,kg
2022-01-11,13,1,11000,Tepung Terigu,kg
2022-01-11,14,1,38000,Daging Ayam Ras,kg
2022-01-11,15,1,23000,Telur Ayam Ras,kg
2022-01-11,16,1,110000,Daging Sapi Paha Belakang,kg
2022-01-11,22,1,3000,Mie Instan,bungkus
2022-01-11,23,1,26000,Bawang Putih Honan,kg
2022-01-11,24,1,28000,Bawang Putih Kating,kg
2022-01-11,26,1,10000,Susu Kental Manis,kg
2022-01-11,29,1,65000,Daging Ayam Kampung,kg
2022-01-11,30,1,42000,Telur Ayam Kampung,kg
2022-01-12,1,1,9000,Beras Medium,kg
2022-01-12,2,1,10000,Beras Premium,kg
2022-01-12,3,1,20000,Cabai Merah Keriting,kg
2022-01-12,4,1,20000,Cabai Merah Besar,kg
2022-01-12,5,1,40000,Cabai Rawit Merah,kg
2022-01-12,6,1,40000,Cabai Rawit Hijau,kg
2022-01-12,7,1,25000,Bawang Merah,kg
2022-01-12,13,1,11000,Tepung Terigu,kg
2022-01-12,14,1,38000,Daging Ayam Ras,kg
2022-01-12,15,1,23000,Telur Ayam Ras,kg
2022-01-12,16,1,110000,Daging Sapi Paha Belakang,kg
2022-01-12,22,1,3000,Mie Instan,bungkus
2022-01-12,23,1,26000,Bawang Putih Honan,kg
2022-01-12,24,1,28000,Bawang Putih Kating,kg
2022-01-12,26,1,11000,Susu Kental Manis,kg
2022-01-12,29,1,65000,Daging Ayam Kampung,kg
2022-01-12,30,1,42000,Telur Ayam Kampung,kg
2022-01-13,1,1,9000,Beras Medium,kg
2022-01-13,2,1,10000,Beras Premium,kg
2022-01-13,3,1,20000,Cabai Merah Keriting,kg
2022-01-13,4,1,20000,Cabai Merah Besar,kg
2022-01-13,5,1,40000,Cabai Rawit Merah,kg
2022-01-13,6,1,35000,Cabai Rawit Hijau,kg
2022-01-13,7,1,25000,Bawang Merah,kg
2022-01-13,13,1,11000,Tepung Terigu,kg
2022-01-13,14,1,40000,Daging Ayam Ras,kg
2022-01-13,15,1,23000,Telur Ayam Ras,kg
2022-01-13,16,1,110000,Daging Sapi Paha Belakang,kg
2022-01-13,22,1,3000,Mie Instan,bungkus
2022-01-13,23,1,26000,Bawang Putih Honan,kg
2022-01-13,24,1,28000,Bawang Putih Kating,kg
2022-01-13,26,1,10000,Susu Kental Manis,kg
2022-01-13,29,1,65000,Daging Ayam Kampung,kg
2022-01-13,30,1,42000,Telur Ayam Kampung,kg
2022-01-14,1,1,9000,Beras Medium,kg
2022-01-14,2,1,10000,Beras Premium,kg
